Timestamp,Pickup Postcode,Dropoff Postcode,Distance (km),Duration (minutes),Fare Amount (£),Tip (%),Tip Amount (£),Total Amount (£),Payment Type,Passenger Count
2024-02-01 19:16:36,G128PQ,G513NP,7.745,15.18,14.47,0.0%,0.0,14.47,Card,3
2024-02-01 19:18:31,G412LD,G402NG,4.976,14.28,12.08,0.0%,0.0,12.08,Card,2
2024-02-01 19:20:05,G413JX,G413RG,0.997,3.57,5.31,5.0%,0.27,5.58,Card,2
2024-02-01 19:21:04,G415NU,G116AJ,8.231,15.25,14.86,0.0%,0.0,17.09,Cash,1
2024-02-01 19:34:57,G413NN,G140PU,12.521,23.88,21.13,0.0%,0.0,21.13,Card,1
2024-02-01 19:42:28,G15AB,G212DJ,3.618,10.82,9.84,0.0%,0.0,10.82,Cash,1
2024-02-01 20:05:38,G314TF,G129TT,12.928,22.05,20.79,0.0%,0.0,21.83,Cash,1
2024-02-01 20:17:53,G200EQ,G523TD,8.604,16.77,15.68,0.0%,0.0,15.68,Card,1
2024-02-01 20:24:18,G15NA,G514UJ,6.116,18.18,14.31,0.0%,0.0,14.31,Card,1
2024-02-01 20:34:23,G521AS,G402PA,8.246,18.23,15.93,0.0%,0.0,15.93,Card,1
2024-02-01 20:46:19,G414AP,G129AU,9.253,19.78,17.23,5.0%,0.86,18.09,Card,1
2024-02-01 21:14:28,G225NE,G117LA,5.515,15.65,12.97,0.0%,0.0,12.97,Cash,1
2024-02-01 21:26:56,G235DU,G428BZ,12.15,27.53,22.14,10.0%,2.21,24.35,Card,1
2024-02-01 21:28:44,G212AR,G429RP,13.592,20.95,20.9,5.0%,1.04,21.94,Card,1
2024-02-01 21:39:03,G313JN,G512YN,10.705,13.37,16.05,10.0%,1.61,17.66,Card,2
2024-02-01 21:44:38,G401DX,G213HW,5.775,13.78,12.5,0.0%,0.0,12.5,Unknown,1
2024-02-01 21:48:52,G50BH,G50YP,2.883,6.98,7.93,0.0%,0.0,7.93,Card,1
2024-02-01 21:58:38,G208EQ,G313SD,7.38,20.4,16.04,10.0%,1.6,17.64,Card,2
2024-02-01 22:14:57,G207BS,G313NT,5.617,15.28,12.91,0.0%,0.0,12.91,Card,2
2024-02-01 22:18:46,G25AE,G115HD,3.749,13.98,11.05,0.0%,0.0,11.05,Card,1
2024-02-01 22:18:58,G131XW,G29WL,7.179,22.67,16.69,0.0%,0.0,16.69,Card,1
2024-02-01 22:26:24,G412LH,G149YQ,9.458,15.73,15.95,5.0%,0.8,16.75,Card,1
2024-02-01 22:36:46,G403EB,G149RP,9.044,17.22,16.17,5.0%,0.81,16.98,Card,1
2024-02-01 22:44:54,G120FE,G513XR,4.581,11.15,10.68,0.0%,0.0,10.68,Card,1
2024-02-01 23:18:24,G522BS,G58NG,6.172,11.58,13.12,10.0%,1.31,14.43,Card,1
2024-02-01 23:29:00,G313LQ,G415LH,10.112,11.97,16.21,0.0%,0.0,16.21,Unknown,2
2024-02-01 23:30:56,G207SQ,G226JX,1.143,3.13,6.36,5.0%,0.32,6.68,Card,1
2024-02-01 23:41:57,G207NA,G36BH,1.672,6.27,7.87,0.0%,0.0,7.87,Card,2
2024-02-01 23:49:23,G512YB,G117EB,5.875,11.22,12.77,0.0%,0.0,12.77,Unknown,1
2024-02-01 23:51:10,G22ND,G132QZ,7.284,21.25,17.37,5.0%,0.87,18.24,Card,1
2024-02-02 00:18:30,G207RR,G58AH,4.784,9.67,11.4,0.0%,0.0,11.4,Card,1
2024-02-02 00:40:10,G415AE,G36RE,6.851,13.28,14.23,0.0%,0.0,15.65,Cash,1
2024-02-02 00:51:59,G404JQ,G22QD,7.344,14.77,15.13,15.0%,2.27,17.4,Card,1
2024-02-02 01:05:42,G133NW,G513WX,5.308,11.7,12.52,0.0%,0.0,12.52,Card,1
2024-02-02 02:43:23,G140EF,G49QX,9.033,17.82,17.47,0.0%,0.0,17.47,Cash,1
2024-02-02 04:07:34,G514GD,G211HF,10.203,19.6,18.98,10.0%,1.9,20.88,Card,2
2024-02-02 04:10:33,G212DJ,G428HJ,9.878,17.17,17.88,0.0%,0.0,17.88,Card,1
2024-02-02 04:46:11,G157RZ,G58QR,14.452,24.45,23.88,10.0%,2.39,26.27,Card,2
2024-02-02 05:02:31,G25HF,G214DG,3.956,11.08,11.28,0.0%,0.0,11.28,Unknown,1
2024-02-02 05:23:00,G134HN,G24TT,10.032,18.13,18.33,0.0%,0.0,19.25,Unknown,1
2024-02-02 05:31:19,G402NS,G158TA,14.106,28.97,25.22,0.0%,0.0,25.22,Card,1
2024-02-02 05:31:58,G132HA,G29WH,7.623,23.62,18.46,0.0%,0.0,18.46,Card,2
2024-02-02 05:33:40,G414RX,G413NS,2.507,6.78,8.68,0.0%,0.0,8.68,Card,1
2024-02-02 05:33:47,G117UE,G427LL,7.722,13.52,14.97,0.0%,0.0,14.97,Card,1
2024-02-02 05:42:11,G404QB,G134RE,16.384,21.08,24.14,0.0%,0.0,24.14,Cash,2
2024-02-02 05:43:00,G149NB,G59LA,7.433,12.05,14.23,15.0%,2.13,16.36,Card,1
2024-02-02 05:43:58,G158AT,G129DW,8.373,19.38,17.53,5.0%,0.88,18.41,Card,1
2024-02-02 05:56:45,G131QU,G521SG,6.669,11.67,13.53,0.0%,0.0,13.53,Card,2
2024-02-02 05:58:33,G214NU,G59QB,8.021,12.88,14.97,5.0%,0.75,15.72,Card,1
2024-02-02 06:04:31,G313BX,G156UQ,14.623,19.85,21.28,0.0%,0.0,21.28,Card,1
2024-02-02 06:07:57,G312PG,G24HQ,5.392,9.97,10.87,0.0%,0.0,12.5,Cash,2
2024-02-02 06:16:36,G524AF,G402RT,13.444,22.32,21.27,0.0%,0.0,21.27,Unknown,1
2024-02-02 06:33:28,G512WU,G24JW,6.063,9.35,11.15,5.0%,0.56,11.71,Card,1
2024-02-02 06:46:46,G50SU,G131QW,8.734,14.07,14.82,0.0%,0.0,14.82,Card,2
2024-02-02 06:51:10,G312LS,G38BB,6.328,9.67,11.46,15.0%,1.72,13.18,Card,2
2024-02-02 06:51:36,G313LS,G200BW,8.566,19.43,16.59,0.0%,0.0,16.59,Unknown,1
2024-02-02 06:56:13,G209QS,G149HF,6.414,17.57,14.32,0.0%,0.0,14.32,Cash,2
2024-02-02 07:17:39,G134HL,G522DL,8.238,27.93,19.35,5.0%,0.97,20.32,Card,1
2024-02-02 07:19:46,G38HF,G115DW,5.191,21.15,14.67,0.0%,0.0,14.67,Card,2
2024-02-02 07:28:39,G129HH,G207DS,3.161,23.1,13.83,0.0%,0.0,13.83,Card,1
2024-02-02 07:33:19,G212NS,G23AU,2.09,17.25,10.96,5.0%,0.55,11.51,Card,1
2024-02-02 07:38:19,G524AN,G158PH,21.975,28.93,30.0,5.0%,1.5,31.5,Card,1
2024-02-02 07:58:19,G428SR,G429EY,2.067,19.58,11.77,10.0%,1.18,12.95,Card,1
2024-02-02 08:08:20,G49ET,G117JN,3.082,19.23,12.41,0.0%,0.0,12.41,Card,1
2024-02-02 08:23:27,G225PG,G129YJ,3.102,21.68,13.29,0.0%,0.0,13.29,Card,1
2024-02-02 08:23:33,G428TF,G214AG,6.029,27.82,17.65,0.0%,0.0,17.65,Unknown,1
2024-02-02 08:36:22,G522AX,G134EL,8.792,25.57,18.93,0.0%,0.0,18.93,Card,1
2024-02-02 08:56:34,G156AR,G511DH,9.841,31.87,21.94,0.0%,0.0,21.94,Card,1
2024-02-02 09:09:05,G401EL,G40HY,6.547,24.42,16.84,0.0%,0.0,17.68,Cash,1
2024-02-02 09:22:19,G134HU,G427HE,12.589,34.7,25.0,0.0%,0.0,25.0,Card,1
2024-02-02 09:25:28,G429SY,G427NF,2.457,17.62,11.37,0.0%,0.0,11.37,Unknown,2
2024-02-02 09:28:26,G420BH,G522ED,10.577,26.82,20.71,5.0%,1.04,21.75,Card,1
2024-02-02 09:43:25,G209NQ,G209DG,3.947,20.98,13.67,0.0%,0.0,13.67,Card,1
2024-02-02 09:46:58,G213UE,G116DN,9.687,26.72,20.01,0.0%,0.0,21.01,Unknown,2
2024-02-02 09:47:21,G429YW,G158JD,17.488,45.48,32.49,0.0%,0.0,32.49,Card,2
2024-02-02 09:52:08,G511HD,G212JX,5.758,29.33,17.98,15.0%,2.7,20.68,Card,2
2024-02-02 10:22:41,G132AT,G38NR,8.728,15.35,15.27,0.0%,0.0,15.27,Card,1
2024-02-02 11:44:21,G428UF,G59QA,1.918,6.42,7.01,0.0%,0.0,7.01,Card,2
2024-02-02 12:10:58,G429PZ,G133QQ,12.107,22.85,20.45,0.0%,0.0,22.49,Unknown,3
2024-02-02 12:33:11,G49SA,G29TR,2.621,9.85,8.75,0.0%,0.0,8.75,Card,1
2024-02-02 12:45:18,G428AH,G427NF,0.822,2.93,4.95,0.0%,0.0,4.95,Card,1
2024-02-02 12:50:38,G131TW,G49SQ,8.609,16.6,15.62,10.0%,1.56,17.18,Card,2
2024-02-02 13:08:49,G427RR,G225HY,6.152,16.42,13.72,5.0%,0.69,14.41,Card,2
2024-02-02 13:43:34,G133HE,G429AX,14.458,23.35,22.39,0.0%,0.0,22.39,Card,2
2024-02-02 13:52:10,G128QQ,G206QD,2.773,11.22,9.34,0.0%,0.0,10.74,Cash,1
2024-02-02 14:14:05,G524RJ,G49DW,12.426,18.35,19.1,5.0%,0.96,20.06,Card,1
2024-02-02 15:17:12,G401HR,G50HB,2.209,7.72,7.68,0.0%,0.0,7.68,Card,1
2024-02-02 15:19:58,G214XE,G132YQ,9.196,22.8,18.25,0.0%,0.0,18.25,Card,1
2024-02-02 15:22:06,G512TY,G521LZ,3.157,8.63,8.72,0.0%,0.0,8.72,Unknown,1
2024-02-02 15:30:08,G59LQ,G413UJ,3.326,9.62,9.19,0.0%,0.0,9.19,Card,2
2024-02-02 15:41:58,G403PG,G521SD,9.165,16.02,15.83,10.0%,1.58,17.41,Card,2
2024-02-02 15:48:03,G38SJ,G22JJ,3.06,10.77,9.4,5.0%,0.47,9.87,Card,2
2024-02-02 15:51:03,G49DR,G514RQ,10.028,12.63,15.28,0.0%,0.0,15.28,Card,2
2024-02-02 15:55:54,G411HE,G512BQ,3.156,6.6,8.0,5.0%,0.4,8.4,Card,2
2024-02-02 15:57:15,G213HA,G214UQ,2.662,5.33,7.18,0.0%,0.0,7.18,Card,1
2024-02-02 16:28:37,G157UE,G514SD,10.523,31.4,22.29,0.0%,0.0,22.29,Cash,1
2024-02-02 17:00:09,G208JX,G511QH,10.026,30.7,21.67,15.0%,3.25,24.92,Card,1
2024-02-02 17:10:52,G207SJ,G38AQ,4.157,22.32,14.3,15.0%,2.14,16.44,Card,1
2024-02-02 17:14:12,G523BU,G211LR,11.537,37.27,25.12,0.0%,0.0,25.12,Cash,1
2024-02-02 17:49:36,G523JN,G134TD,10.927,32.92,23.13,0.0%,0.0,23.13,Card,1
2024-02-02 17:56:36,G117XH,G313PU,9.582,34.5,22.68,0.0%,0.0,23.81,Unknown,1
2024-02-02 17:58:47,G37PR,G134LB,10.091,31.77,22.09,0.0%,0.0,22.09,Card,1
2024-02-02 18:25:08,G132QY,G22TU,8.85,30.65,20.77,5.0%,1.04,21.81,Card,1
2024-02-02 18:33:16,G157TS,G412RG,17.624,35.03,28.9,0.0%,0.0,28.9,Card,1
2024-02-02 18:36:29,G314AU,G514HG,10.086,25.73,19.96,10.0%,2.0,21.96,Card,2
2024-02-02 18:39:41,G522EW,G131DZ,6.472,25.97,17.33,0.0%,0.0,17.33,Card,1
2024-02-02 18:40:07,G415AT,G226QX,9.911,32.82,22.33,5.0%,1.12,23.45,Card,2
2024-02-02 18:40:08,G227PE,G402QA,8.513,32.33,21.11,5.0%,1.06,22.17,Card,1
2024-02-02 18:48:48,G312YX,G38QD,7.11,25.85,17.77,5.0%,0.89,18.66,Card,2
2024-02-02 19:07:57,G403QT,G50DP,3.987,10.93,10.15,5.0%,0.51,10.66,Card,2
2024-02-02 19:20:51,G312PD,G40NS,1.58,5.53,6.44,0.0%,0.0,6.44,Cash,2
2024-02-02 19:47:39,G156TD,G312LR,12.72,32.27,24.24,10.0%,2.42,26.66,Card,1
2024-02-02 20:13:45,G311JJ,G211NE,5.653,13.73,12.39,5.0%,0.62,13.01,Card,2
2024-02-02 20:20:42,G117SY,G11DA,6.92,18.7,15.1,5.0%,0.76,15.86,Card,1
2024-02-02 20:21:46,G511NU,G117HR,6.806,13.78,13.27,0.0%,0.0,13.27,Card,1
2024-02-02 20:47:12,G206ND,G129NS,2.667,8.9,8.44,0.0%,0.0,8.44,Card,1
2024-02-02 20:54:18,G412DB,G207BB,6.906,19.87,15.5,10.0%,1.55,17.05,Card,1
2024-02-02 20:57:21,G313TW,G401HL,3.103,9.43,8.96,0.0%,0.0,8.96,Card,2
2024-02-02 21:01:28,G206NS,G420BL,8.72,15.52,15.32,5.0%,0.77,16.09,Card,1
2024-02-02 21:04:34,G207ER,G235AU,2.937,7.27,8.07,5.0%,0.4,8.47,Card,1
2024-02-02 21:08:37,G26LY,G314LE,5.264,19.08,13.99,0.0%,0.0,13.99,Card,1
2024-02-02 21:47:13,G140TH,G134NA,4.67,10.77,10.61,10.0%,1.06,11.67,Card,2
2024-02-02 22:08:04,G49JD,G514AP,8.368,12.88,14.13,0.0%,0.0,14.13,Cash,1
2024-02-02 22:13:43,G129SR,G227PF,6.982,18.03,14.91,0.0%,0.0,14.91,Card,1
2024-02-02 22:19:36,G208AL,G132RD,4.467,10.37,10.31,5.0%,0.52,10.83,Card,2
2024-02-02 22:35:52,G116AL,G415LH,9.378,12.22,14.65,0.0%,0.0,14.65,Card,3
2024-02-02 22:53:13,G213QQ,G402UB,7.318,16.93,14.77,0.0%,0.0,14.77,Card,2
2024-02-02 23:35:45,G206BB,G149ET,4.996,14.17,13.15,0.0%,0.0,13.15,Card,1
2024-02-02 23:36:29,G214XF,G120EB,7.235,16.23,15.56,0.0%,0.0,15.56,Card,1
2024-02-02 23:53:14,G415QR,G157XL,15.139,25.67,24.82,0.0%,0.0,24.82,Card,1
2024-02-03 00:33:23,G24RU,G512PA,3.999,13.33,12.11,0.0%,0.0,12.11,Card,1
2024-02-03 00:35:11,G513LY,G512LP,1.895,5.87,7.9,0.0%,0.0,7.9,Card,1
2024-02-03 00:44:42,G226PU,G36EQ,4.842,15.92,13.66,10.0%,1.37,15.03,Card,1
2024-02-03 00:51:43,G411QH,G131NQ,9.639,16.92,17.61,0.0%,0.0,17.61,Cash,1
2024-02-03 01:26:10,G117SP,G140TX,1.762,4.67,7.37,5.0%,0.37,7.74,Card,1
2024-02-03 01:28:42,G200RH,G214LL,6.528,14.35,14.37,0.0%,0.0,14.37,Card,1
2024-02-03 01:48:32,G149AD,G132RE,3.027,6.77,9.06,0.0%,0.0,9.51,Unknown,1
2024-02-03 02:14:10,G214NP,G214LS,1.742,4.23,7.2,15.0%,1.08,8.28,Card,1
2024-02-03 03:19:32,G128HE,G59TS,4.621,10.07,11.42,5.0%,0.57,11.99,Card,2
2024-02-03 04:02:06,G312UX,G401DP,1.73,5.47,7.63,5.0%,0.38,8.01,Card,1
2024-02-03 04:35:17,G29WN,G40PE,1.987,8.42,8.87,5.0%,0.44,9.31,Card,2
2024-02-03 05:07:28,G157XY,G117HZ,7.527,16.15,15.75,0.0%,0.0,15.75,Card,1
2024-02-03 05:14:21,G149SZ,G38GF,6.554,11.33,13.32,15.0%,2.0,15.32,Card,1
2024-02-03 05:17:39,G211XP,G129PS,8.301,21.33,18.16,0.0%,0.0,18.16,Card,1
2024-02-03 05:26:58,G212PX,G131QU,9.92,13.82,16.72,10.0%,1.67,18.39,Card,3
2024-02-03 05:33:27,G429QU,G24JR,6.26,17.62,15.32,0.0%,0.0,16.85,Unknown,2
2024-02-03 05:47:41,G415SH,G312SZ,6.732,19.1,16.2,0.0%,0.0,16.2,Unknown,1
2024-02-03 06:15:24,G206ND,G411RH,5.343,10.25,10.93,0.0%,0.0,10.93,Card,2
2024-02-03 06:43:38,G212QN,G511HJ,7.301,12.53,13.2,0.0%,0.0,13.2,Card,1
2024-02-03 06:45:44,G311EQ,G225AB,5.654,13.2,12.2,0.0%,0.0,12.2,Card,2
2024-02-03 06:49:07,G420HS,G429QT,2.689,9.07,8.52,0.0%,0.0,8.52,Card,1
2024-02-03 07:21:21,G235NB,G414PD,13.934,37.1,26.86,5.0%,1.34,28.2,Card,1
2024-02-03 07:26:54,G213SJ,G514JJ,16.39,30.8,26.48,5.0%,1.32,27.8,Card,1
2024-02-03 07:33:15,G315RS,G404PT,2.808,20.6,12.68,0.0%,0.0,13.31,Cash,1
2024-02-03 07:36:46,G412NH,G413JX,2.513,20.05,12.27,0.0%,0.0,14.11,Unknown,1
2024-02-03 07:37:16,G207XN,G117DJ,5.568,23.33,15.72,0.0%,0.0,15.72,Card,2
2024-02-03 07:47:38,G132JE,G133QY,1.481,15.38,9.85,10.0%,0.98,10.83,Card,1
2024-02-03 08:01:27,G523RN,G156SB,10.636,32.3,22.69,0.0%,0.0,22.69,Card,1
2024-02-03 08:13:29,G38TN,G37NY,1.115,13.73,8.99,0.0%,0.0,8.99,Card,2
2024-02-03 08:33:04,G134PS,G513AD,9.609,25.27,19.44,0.0%,0.0,19.44,Cash,1
2024-02-03 08:37:47,G50GW,G314HP,3.215,18.97,12.41,0.0%,0.0,12.41,Cash,1
2024-02-03 08:53:01,G411LU,G129YH,10.168,24.62,19.63,0.0%,0.0,19.63,Card,2
2024-02-03 08:53:44,G134LE,G214EL,11.893,40.02,26.36,0.0%,0.0,26.36,Card,2
2024-02-03 08:55:47,G206HW,G314UH,9.642,32.95,22.17,0.0%,0.0,24.39,Cash,1
2024-02-03 09:13:06,G226SS,G411AF,8.517,28.32,19.69,0.0%,0.0,22.64,Cash,1
2024-02-03 09:19:25,G50SJ,G207AE,6.04,29.62,18.3,5.0%,0.92,19.22,Card,1
2024-02-03 09:22:44,G132NB,G156QP,2.15,15.93,10.54,5.0%,0.53,11.07,Card,2
2024-02-03 10:00:49,G512PA,G412RD,4.691,8.63,9.87,0.0%,0.0,9.87,Card,1
2024-02-03 10:05:55,G140LQ,G128SE,7.303,18.95,15.47,5.0%,0.77,16.24,Card,1
2024-02-03 10:06:26,G315EJ,G133TW,15.299,25.03,23.62,0.0%,0.0,23.62,Card,2
2024-02-03 10:06:57,G214DZ,G523BP,12.225,19.1,19.22,5.0%,0.96,20.18,Card,2
2024-02-03 10:17:20,G131EU,G11JF,7.749,26.4,18.44,0.0%,0.0,18.44,Card,1
2024-02-03 10:19:39,G414NA,G514AN,5.767,11.82,11.8,5.0%,0.59,12.39,Card,1
2024-02-03 10:27:55,G413WN,G207AP,8.151,22.1,17.22,0.0%,0.0,17.22,Card,2
2024-02-03 11:29:38,G225ND,G128DT,2.957,10.23,9.13,5.0%,0.46,9.59,Card,1
2024-02-03 11:54:03,G40BA,G428RT,6.368,16.25,13.82,0.0%,0.0,13.82,Card,1
2024-02-03 12:00:09,G158QN,G156QN,2.498,5.13,6.99,0.0%,0.0,6.99,Card,1
2024-02-03 12:38:34,G117PX,G131SQ,1.689,6.22,6.76,0.0%,0.0,6.76,Card,1
